Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
definition,grand_manner,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,grand manner,grand manner,grand manner,grand manner
artist,kruger_barbara,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,barbara kruger,kruger,kruger,kruger
movement,st_ives_school,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,st ives school,st ives,st ives,st ives
artist,claudel_camille,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,camille claudel,claudel,claudel,claudel
artist,laurencin_marie,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,marie laurencin,laurencin,laurencin,laurencin
movement,photorealism,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,photorealism,photorealism,photorealism,photorealism
artist,salcedo_doris,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,doris salcedo,doris salcedo,doris salcedo,doris salcedo
artist,masaccio,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,masaccio,masaccio,masaccio,masaccio
artist,ofili_chris,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,chris ofili,ofili,ofili,ofili
artist,de_hooch_pieter,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,pieter de hooch,hooch,hooch,hooch
movement,hudson_river_school,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,the hudson river school,hudson river,hudson river,hudson river
definition,modern_art,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,modern art,,,
artist,cole_thomas,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,thomas cole,cole,cole,cole
artist,catlett_elizabeth,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,elizabeth catlett,catlett,catlett,catlett
artist,kentridge_william,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,william kentridge,kentridge,kentridge,kentridge
artist,tobey_mark,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,mark tobey,tobey,tobey,tobey
artist,tzara_tristan,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,tristan tzara,tristan tzara,tristan tzara,tristan tzara
artist,epstein_jacob,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,jacob epstein,epstein,epstein,epstein
artist,tooker_george,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,george tooker ,tooker,tooker,tooker
artist,cocteau_jean,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,jean cocteau,cocteau,cocteau,cocteau
artist,escher_mc,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,m.c. escher,m.c. escher,m.c. escher,m.c. escher
artist,hosmer_harriet,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,harriet hosmer,harriet hosmer,harriet hosmer,harriet hosmer
influencer,rimbaud_arthur,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,arthur rimbaud,rimbaud,rimbaud,rimbaud
artist,acconci_vito,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,vito acconci,vito acconci,vito acconci,vito acconci
artist,masson_andre,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,andré masson,masson,masson,masson
artist,morris_robert,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,robert morris,,,
influencer,stein_gertrude,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,gertrude stein,gertrude stein,gertrude stein,gertrude stein
artist,diebenkorn_richard,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,richard diebenkorn,diebenkorn,diebenkorn,diebenkorn
artist,picabia_francis,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,francis picabia,picabia,picabia,picabia
artist,rodin_auguste,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,auguste rodin,auguste rodin,auguste rodin,auguste rodin
artist,muniz_vik,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,vik muniz,vik muniz,vik muniz,vik muniz
artist,sisley_alfred,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,alfred sisley,sisley,sisley,sisley
critic,lippard_lucy,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,lucy r. lippard,lucy lippard,lucy lippard,lucy lippard
artist,valadon_suzanne,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,suzanne valadon,valadon,valadon,valadon
movement,magic_realism,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,magic realism,magic,magic,magic
movement,performance_art,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,performance art,performance,performance,performance
movement,wiener_werkstatte,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,the wiener werkstätte,wiener werkstatte,wiener werkstatte,wiener werkstatte
artist,anderson_laurie,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,laurie anderson,anderson,anderson,anderson
artist,lissitzky_el,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,el lissitzky,lissitzky,lissitzky,lissitzky
artist,bacon_francis,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,francis bacon,bacon,bacon,bacon
artist,pousette_dart_richard,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,richard pousette-dart,pousette-dart,pousette-dart,pousette-dart
movement,feminist_art,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,feminist art,feminist,feminist,feminist
artist,shiraga_kazuo,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,kazuo shiraga,kazuo shiraga,kazuo shiraga,kazuo shiraga
artist,hammershoi_vilhelm,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,vilhelm hammershøi,vilhelm hammershøi,vilhelm hammershøi,vilhelm hammershøi
artist,cranach_the_elder_lucas,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,lucas cranach the elder,cranach,cranach,cranach
artist,rosler_martha,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,martha rosler,martha rosler,martha rosler,martha rosler
artist,savage_augusta,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,augusta savage,augusta savage,augusta savage,augusta savage
artist,constable_john,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,john constable,constable,constable,constable
artist,ruscha_ed,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,ed ruscha,ed ruscha,ed ruscha,ed ruscha
artist,bailey_david,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,david bailey,bailey,bailey,bailey
artist,serrano_andres,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,andres serrano,andres serrano,andres serrano,andres serrano
artist,gauguin_paul,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,paul gauguin,gauguin,gauguin,gauguin
artist,kostabi_mark,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,mark kostabi,kostabi,kostabi,kostabi
artist,farmanfarmaian_monir,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,monir shahroudy farmanfarmaian,monir shahroudy farmanfarmaian,monir shahroudy farmanfarmaian,monir shahroudy farmanfarmaian
artist,fuller_buckminster,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,r. buckminster fuller,buckminster fuller,buckminster fuller,buckminster fuller
artist,rist_pipilotti,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,pipilotti rist,pipilotti rist,pipilotti rist,pipilotti rist
movement,post_impressionism,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,post-impressionism,post-impressionism,post-impressionism,post-impressionism
artist,de_kooning_willem,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,willem de kooning,willem,willem,willem
artist,holler_carsten,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,carsten höller,carsten holler,carsten holler,carsten holler
movement,viennese_actionism,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,viennese actionism,viennese actionism,viennese actionism,viennese actionism
artist,gonzalez_torres_felix,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,felix gonzalez-torres,gonzalez-torres,gonzalez-torres,gonzalez-torres
artist,tintoretto,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,jacopo tintoretto,tintoretto,tintoretto,tintoretto
movement,digital_art,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,digital art,digital,digital,digital
artist,lundeberg_helen,08 March 2024 16:11,08 March 2024 16:11,08 March 2024 16:11,helen lundeberg,lundeberg,lundeberg,lundeberg
artist,wearing_gillian,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,gillian wearing,gillian wearing,gillian wearing,gillian wearing
artist,hogarth_william,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,william hogarth,hogarth,hogarth,hogarth
movement,metaphysical_painting,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,metaphysical painting,metaphysical,metaphysical,metaphysical
artist,schneemann_carolee,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,carolee schneemann,carolee schneemann,carolee schneemann,carolee schneemann
artist,ryder_albert_pinkham,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,albert pinkham ryder,pinkham ryder,pinkham ryder,pinkham ryder
artist,ukeles_mierle_laderman,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,mierle laderman ukeles,mierle laderman ukeles,mierle laderman ukeles,mierle laderman ukeles
artist,liebermann_max,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,max liebermann,liebermann,liebermann,liebermann
definition,chiaroscuro_tenebrism_sfumato,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,"chiaroscuro, tenebrism, and sfumato","chiaroscuro, tenebrism, sfumato","chiaroscuro, tenebrism, sfumato","chiaroscuro, tenebrism, sfumato"
artist,jr,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,jr,jr,jr,jr
artist,ivekovic_sanja,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,sanja iveković,sanja ivekovic,sanja ivekovic,sanja ivekovic
artist,bonheur_rosa,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,rosa bonheur,rosa bonheur,rosa bonheur,rosa bonheur
artist,manzoni_piero,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,piero manzoni,manzoni,manzoni,manzoni
artist,bridgwater_emmy,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,emmy bridgwater,emmy bridgwater,emmy bridgwater,emmy bridgwater
movement,concrete_art,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,concrete art,,,
movement,black_mountain_college,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,black mountain college,mountain college,mountain college,mountain college
artist,giotto,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,giotto,giotto,giotto,giotto
artist,ball_hugo,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,hugo ball,hugo ball,hugo ball,hugo ball
artist,signorelli_luca,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,luca signorelli,luca signorelli,luca signorelli,luca signorelli
artist,brewster_john_jr,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,john brewster jr.,brewster,brewster,brewster
artist,delaunay_sonia,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,sonia delaunay,sonia,sonia,sonia
artist,de_lempicka_tamara,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tamara de lempicka,tamara lempicka,tamara lempicka,tamara lempicka
artist,caulfield_patrick,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,patrick caulfield,patrick caulfield,patrick caulfield,patrick caulfield
artist,tiepolo,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,giambattista tiepolo,giambattista tiepolo,giambattista tiepolo,giambattista tiepolo
definition,existentialism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,existentialism in modern art,existentialism,existentialism,existentialism
artist,beckmann_max,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,max beckmann,beckmann,beckmann,beckmann
definition,renaissance_humanism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,renaissance humanism,humanism,humanism,humanism
artist,arango_debora,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,débora arango,debora arango,debora arango,debora arango
artist,eakins_thomas,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,thomas eakins,eakins,eakins,eakins
artist,riley_bridget,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,bridget riley,bridget riley,bridget riley,bridget riley
artist,morandi_giorgio,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,giorgio morandi,morandi,morandi,morandi
artist,macdonald_wright_stanton,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,stanton macdonald-wright,stanton macdonald-wright,stanton macdonald-wright,stanton macdonald-wright
artist,murillo_bartolome_esteban,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,bartolomé esteban murillo,bartolome esteban murillo,bartolome esteban murillo,bartolome esteban murillo
artist,sander_august,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,august sander,august sander,august sander,august sander
movement,byzantine_art,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,byzantine art and architecture,byzantine,byzantine,byzantine
artist,kelley_mike,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,mike kelley,mike kelley,mike kelley,mike kelley
definition,medium_specificity_and_flatness,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,medium specificity & flatness,medium specificity flatness,medium specificity flatness,medium specificity flatness
artist,boyd_arthur,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,arthur boyd,boyd,boyd,boyd
movement,washington_color_school,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,washington color school,washington,washington,washington
artist,courbet_gustave,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,gustave courbet,courbet,courbet,courbet
artist,von_freytag_loringhoven_elsa,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,baroness elsa von freytag-loringhoven,baroness elsa freytag-loringhoven,baroness elsa freytag-loringhoven,baroness elsa freytag-loringhoven
artist,currin_john,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,john currin,currin,currin,currin
artist,gormley_antony,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,antony gormley,antony gormley,antony gormley,antony gormley
artist,goldin_nan,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,nan goldin,nan goldin,nan goldin,nan goldin
movement,identity_art,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,identity art & identity politics,identity identity politics,identity identity politics,identity identity politics
artist,thompson_bob,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,bob thompson,bob thompson,bob thompson,bob thompson
artist,zao_wou_ki,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,zao wou-ki,zao wou-ki,zao wou-ki,zao wou-ki
artist,bierstadt_albert,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,albert bierstadt,bierstadt,bierstadt,bierstadt
artist,heckel_erich,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,erich heckel,erich heckel,erich heckel,erich heckel
artist,fragonard_jean_honore,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,jean-honoré fragonard,jean-honore fragonard,jean-honore fragonard,jean-honore fragonard
artist,brodovitch_alexey,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,alexey brodovitch,alexey brodovitch,alexey brodovitch,alexey brodovitch
artist,emin_tracey,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tracey emin,tracey emin,tracey emin,tracey emin
artist,jorn_asger,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,asger jorn,asger jorn,asger jorn,asger jorn
artist,metzinger_jean,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,jean metzinger,metzinger,metzinger,metzinger
artist,spero_nancy,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,nancy spero,spero,spero,spero
artist,grandma_moses,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,grandma moses,grandma moses,grandma moses,grandma moses
artist,bracquemond_marie,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,marie bracquemond,bracquemond,bracquemond,bracquemond
movement,mannerism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,mannerism,mannerism,mannerism,mannerism
artist,hesse_eva,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,eva hesse,hesse,hesse,hesse
artist,tuymans_luc,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,luc tuymans,luc tuymans,luc tuymans,luc tuymans
artist,roth_dieter,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,dieter roth,dieter roth,dieter roth,dieter roth
artist,breton_andre,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,andré breton,breton,breton,breton
artist,albers_anni,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,anni albers,anni,anni,anni
artist,veronese_paolo,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,paolo veronese,veronese,veronese,veronese
artist,copley_john_singleton,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,john singleton copley,singleton copley,singleton copley,singleton copley
artist,bell_leland,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,leland bell,leland,leland,leland
artist,kelly_ellsworth,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,ellsworth kelly,ellsworth,ellsworth,ellsworth
artist,kahlo_frida,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,frida kahlo,frida kahlo,frida kahlo,frida kahlo
movement,african_art,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,traditional african art ,traditional african,traditional african,traditional african
artist,truitt_anne,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,anne truitt,anne truitt,anne truitt,anne truitt
definition,readymade_and_found_object,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,readymade and the found object,readymade found object,readymade found object,readymade found object
movement,tonalism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tonalism,tonalism,tonalism,tonalism
definition,british_art,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,british art,,,
artist,lewitt_sol,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,sol lewitt,sol lewitt,sol lewitt,sol lewitt
artist,guyton_tyree,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tyree guyton,tyree guyton,tyree guyton,tyree guyton
artist,luna_james,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,james luna,luna,luna,luna
movement,les_nabis,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,les nabis,les nabis,les nabis,les nabis
artist,porter_fairfield,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,fairfield porter,fairfield porter,fairfield porter,fairfield porter
artist,modotti_tina,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tina modotti,tina modotti,tina modotti,tina modotti
artist,kusama_yayoi,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,yayoi kusama,yayoi kusama,yayoi kusama,yayoi kusama
artist,hokusai_katsushika,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,katsushika hokusai,katsushika hokusai,katsushika hokusai,katsushika hokusai
artist,correggio,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,antonio da correggio,correggio,correggio,correggio
movement,beaux_arts_architecture,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,beaux-arts architecture,beaux-arts,beaux-arts,beaux-arts
artist,fontana_lucio,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,lucio fontana,lucio,lucio,lucio
movement,surrealist_film,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,surrealist film,film,film,film
movement,arte_povera,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,arte povera,arte povera,arte povera,arte povera
artist,thomas_hank_willis,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,hank willis thomas,hank willis,hank willis,hank willis
artist,la_fresnaye_roger_de,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,roger de la fresnaye,fresnaye,fresnaye,fresnaye
artist,giambologna,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,giambologna,giambologna,giambologna,giambologna
movement,mexican_muralism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,mexican muralism,mexican muralism,mexican muralism,mexican muralism
artist,maier_vivian,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,vivian maier,vivian maier,vivian maier,vivian maier
artist,penn_irving,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,irving penn,irving penn,irving penn,irving penn
movement,luminism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,luminism,luminism,luminism,luminism
movement,dusseldorf_school,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,düsseldorf school of photography,dusseldorf,dusseldorf,dusseldorf
artist,chagall_marc,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,marc chagall,chagall,chagall,chagall
artist,bruguera_tania,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,tania bruguera,tania bruguera,tania bruguera,tania bruguera
movement,american_regionalism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,american regionalism,regionalism,regionalism,regionalism
artist,evans_walker,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,walker evans,evans,evans,evans
movement,american_impressionism,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,american impressionism,,,
artist,judd_donald,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,donald judd,donald judd,donald judd,donald judd
artist,golub_leon,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,leon golub,golub,golub,golub
artist,morris_william,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,william morris,,,
artist,condo_george,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,george condo,condo,condo,condo
artist,de_chirico_giorgio,08 March 2024 16:12,08 March 2024 16:12,08 March 2024 16:12,giorgio de chirico,chirico,chirico,chirico
artist,matta_roberto,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,roberto matta,roberto matta,roberto matta,roberto matta
artist,rego_paula,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,paula rego,rego,rego,rego
movement,textile_art,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,textile art,textile,textile,textile
artist,denes_agnes,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,agnes denes,denes,denes,denes
movement,aesthetic_art,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,the aesthetic movement,aesthetic,aesthetic,aesthetic
artist,scully_sean,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,sean scully,sean scully,sean scully,sean scully
movement,group_f64,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,group f/64,f/64,f/64,f/64
movement,medieval_art,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,medieval art,medieval,medieval,medieval
artist,tanner_henry_ossawa,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,henry ossawa tanner,ossawa tanner,ossawa tanner,ossawa tanner
artist,calder_alexander,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,alexander calder,calder,calder,calder
artist,villon_jacques,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,jacques villon,villon,villon,villon
movement,black_arts_movement,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,black arts movement,,,
artist,horn_rebecca,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,rebecca horn,,,
artist,newton_helmut,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,helmut newton,helmut newton,helmut newton,helmut newton
artist,grunewald_matthias,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,matthias grünewald ,matthias grunewald,matthias grunewald,matthias grunewald
artist,delaney_beauford,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,beauford delaney,beauford delaney,beauford delaney,beauford delaney
artist,soutine_chaim,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,chaim soutine,chaim soutine,chaim soutine,chaim soutine
artist,el_greco,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,el greco,greco,greco,greco
artist,brown_cecily,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,cecily brown,cecily,cecily,cecily
movement,de_stijl,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,de stijl,stijl,stijl,stijl
definition,synthetic_cubism,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,synthetic cubism,synthetic,synthetic,synthetic
movement,institutional_critique,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,institutional critique,institutional critique,institutional critique,institutional critique
movement,northern_renaissance,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,northern european renaissance,northern european,northern european,northern european
artist,friedlander_lee,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,lee friedlander,friedlander,friedlander,friedlander
artist,ozenfant_amedee,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,amédée ozenfant,amedee ozenfant,amedee ozenfant,amedee ozenfant
artist,scharf_kenny,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,kenny scharf,kenny scharf,kenny scharf,kenny scharf
artist,sherman_cindy,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,cindy sherman,cindy sherman,cindy sherman,cindy sherman
movement,harlem_renaissance,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,harlem renaissance art,harlem,harlem,harlem
artist,sterne_hedda,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,hedda sterne,hedda sterne,hedda sterne,hedda sterne
definition,collage,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,collage,collage,collage,collage
artist,hume_gary,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,gary hume,gary hume,gary hume,gary hume
artist,lichtenstein_roy,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,roy lichtenstein,roy lichtenstein,roy lichtenstein,roy lichtenstein
artist,noguchi_isamu,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,isamu noguchi,isamu noguchi,isamu noguchi,isamu noguchi
artist,hausmann_raoul,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,raoul hausmann,hausmann,hausmann,hausmann
artist,raush_neo,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,neo rauch,neo rauch,neo rauch,neo rauch
artist,turner_jmw,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,joseph mallord william turner,mallord turner,mallord turner,mallord turner
artist,kossoff_leon,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,leon kossoff,kossoff,kossoff,kossoff
artist,cage_john,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,john cage,cage,cage,cage
movement,punk_art,08 March 2024 16:13,08 March 2024 16:13,08 March 2024 16:13,punk and post-punk art,punk post-punk,punk post-punk,punk post-punk
