Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
artist,poussin_nicolas,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,nicolas poussin,poussin,poussin,poussin
artist,schnabel_julian,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,julian schnabel,schnabel,schnabel,schnabel
artist,tiffany_louis_comfort,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,louis comfort tiffany,comfort tiffany,comfort tiffany,comfort tiffany
artist,la_tour_georges_de,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,georges de la tour,tour,tour,tour
artist,bosch_hieronymus,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,hieronymus bosch,hieronymus bosch,hieronymus bosch,hieronymus bosch
artist,close_chuck,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,chuck close,chuck close,chuck close,chuck close
artist,dali_salvador,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,salvador dalí,salvador,salvador,salvador
movement,body_art,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,body art,body,body,body
artist,cameron_julia_margaret,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,julia margaret cameron,julia cameron,julia cameron,julia cameron
artist,dubuffet_jean,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,jean dubuffet,dubuffet,dubuffet,dubuffet
artist,aivazovsky_ivan,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,ivan aivazovsky,aivazovsky,aivazovsky,aivazovsky
movement,concrete_poetry,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,concrete poetry,poetry,poetry,poetry
artist,koolhaas_rem,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,rem koolhaas,rem koolhaas,rem koolhaas,rem koolhaas
artist,krasner_lee,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,lee krasner,krasner,krasner,krasner
artist,arcimboldo_giuseppe,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,giuseppe arcimboldo,giuseppe arcimboldo,giuseppe arcimboldo,giuseppe arcimboldo
artist,wood_grant,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,grant wood,grant,grant,grant
artist,caravaggio,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,caravaggio,caravaggio,caravaggio,caravaggio
artist,hare_david,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,david hare,hare,hare,hare
artist,lange_dorothea,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,dorothea lange,lange,lange,lange
artist,tinguely_jean,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,jean tinguely,tinguely,tinguely,tinguely
movement,superflat,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,superflat,superflat,superflat,superflat
movement,impressionism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,impressionism,,,
artist,douglas_aaron,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,aaron douglas,douglas,douglas,douglas
artist,pelton_agnes,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,agnes pelton,pelton,pelton,pelton
artist,cornell_joseph,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,joseph cornell,cornell,cornell,cornell
artist,whiteread_rachel,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,rachel whiteread,whiteread,whiteread,whiteread
movement,new_objectivity,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,neue sachlichkeit (new objectivity),neue sachlichkeit (new objectivity),neue sachlichkeit (new objectivity),neue sachlichkeit (new objectivity)
movement,bauhaus,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,bauhaus,bauhaus,bauhaus,bauhaus
movement,american_realism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,american realism,,,
definition,en_plein_air,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,en plein air,en plein air,en plein air,en plein air
movement,romanticism,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,romanticism,romanticism,romanticism,romanticism
artist,lucas_sarah,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,sarah lucas,sarah,sarah,sarah
movement,group_of_seven,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,the group of seven,seven,seven,seven
artist,burden_chris,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,chris burden,burden,burden,burden
movement,fluxus,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,fluxus,fluxus,fluxus,fluxus
artist,homer_winslow,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,winslow homer,winslow homer,winslow homer,winslow homer
movement,surrealist_sculpture,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,surrealist sculpture,sculpture,sculpture,sculpture
artist,cross_henri_edmond,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,henri-edmond cross,henri-edmond cross,henri-edmond cross,henri-edmond cross
artist,matisse_henri,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,henri matisse,matisse,matisse,matisse
artist,delvaux_paul,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,paul delvaux,delvaux,delvaux,delvaux
movement,art_deco,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,art deco,deco,deco,deco
artist,cezanne_paul,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,paul cézanne,cezanne,cezanne,cezanne
artist,kapoor_anish,08 March 2024 16:10,08 March 2024 16:10,08 March 2024 16:10,anish kapoor,anish kapoor,anish kapoor,anish kapoor
